"source_file","output_avif_file","original_file_size_bytes","avif_file_size_bytes","status","notes"
"assets/images/tea-room/IMG_9573.heic","assets/images/tea-room/armchair-and-screen-01.avif","2126637","1678224","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_9574.heic","assets/images/tea-room/table-flower-arrangement-01.avif","1118071","718456","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_9575.heic","assets/images/tea-room/tea-table-detail-01.avif","2523706","2022841","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/tea-room/IMG_9576.heic","assets/images/tea-room/teaware-display-room-02.avif","2872878","2172236","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/tea-room/IMG_9577.heic","assets/images/tea-room/hanging-kettle-01.avif","1655320","1122743","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_9578.heic","assets/images/tea-room/tea-tasting-bowls-01.avif","1530848","1035327","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_9579.heic","assets/images/tea-room/tea-cake-display-01.avif","910936","669108","converted_validated","Dimensions preserved at 3024×4032."
"assets/images/tea-room/IMG_9580.heic","assets/images/tea-room/clay-teapots-01.avif","1033543","573232","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9581.heic","assets/images/tea-room/porcelain-tea-set-01.avif","787694","378172","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9582.heic","assets/images/tea-room/tea-boxes-01.avif","847252","458710","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9583.heic","assets/images/tea-room/white-teaware-shelf-01.avif","1049342","617929","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9585.heic","assets/images/tea-room/tea-tools-01.avif","845926","525543","converted_validated","Dimensions preserved at 3024×4032."
"assets/images/tea-room/IMG_9586.heic","assets/images/tea-room/room-garden-view-01.avif","1204992","815312","converted_validated","Dimensions preserved at 3586×2690."
